correction,sigma_a,rho,object,projected_mean_energy,projected_covariance_trace,clean_floor_raw,clean_floor_mean_gain_cross,exact_projected_total,measured_raw_total_mean,exact_identity_abs_error,scalar_qdelta_proxy,scalar_proxy_over_exact_gain_energy,n_seeds
agc,0.05,0.001,5,0.008630627283541616,0.017843504318006315,0.49345120782500074,-0.012879707006693124,0.5070456324198556,0.5070456457375547,1.3317699165682484e-08,0.027139196636572667,1.025121316348894,5
scgi_proxy,0.05,0.001,5,0.008527576637203561,0.017858640260465262,0.49345120782500074,-0.01258046122937082,0.5072569634932987,0.507256928228067,3.526523173480456e-08,0.027031520806120344,1.0244560980815909,5
agc,0.05,0.001,6,0.009864910028116182,0.018850421575683975,0.4846212373521136,-0.01276721594894992,0.5005693530069638,0.5005693706943289,1.7687365128082888e-08,0.029255230040239385,1.0188017482747014,5
scgi_proxy,0.05,0.001,6,0.009883727830117017,0.01885742814013585,0.4846212373521136,-0.01245767394093014,0.5009047193814363,0.500904709862403,9.519033339344674e-09,0.029259066489962647,1.0180198221757613,5
agc,0.05,0.001,7,0.01290931644538575,0.021728644512726134,0.526752882227022,-0.01840767179985703,0.5429831713852771,0.5429831950176646,2.363238749136798e-08,0.03564853042398922,1.0291752007890833,5
scgi_proxy,0.05,0.001,7,0.012957628335536509,0.021710162566473155,0.526752882227022,-0.018438676442501536,0.5429819966865301,0.5429819764887764,2.0197753691775233e-08,0.03568216050123597,1.0292597126275935,5
agc,0.05,0.001,8,0.010191053847606903,0.020355988944486172,0.5043874577514778,-0.014410190006847108,0.5205243105367238,0.5205243383873236,2.7850599826351186e-08,0.03106465603337704,1.0169447905254496,5
scgi_proxy,0.05,0.001,8,0.010135534222706301,0.020365634907641934,0.5043874577514778,-0.01434571678732395,0.5205429100945022,0.5205429593550153,4.9260513113047466e-08,0.031000815211619077,1.0163812108032837,5
agc,0.05,0.001,9,0.011148057417436689,0.016528041507465004,0.5066149518944131,-0.011439084137483088,0.5228519666818319,0.5228518666924088,9.998942307465342e-08,0.02774283343832575,1.0024112687848508,5
scgi_proxy,0.05,0.001,9,0.011089503529053999,0.01652580265175913,0.5066149518944131,-0.0112239526395634,0.5230063054356627,0.5230062644946193,4.094104344432026e-08,0.0276744426251292,1.0021414372134378,5
agc,0.05,0.003,0,0.0141591426662141,0.04164550528180202,0.4923020115030484,-0.007638557903212055,0.5404681015478523,0.5404680690088929,3.253895941579543e-08,0.05692550130335145,1.0200853046574085,5
scgi_proxy,0.05,0.003,0,0.0141063059686915,0.041627415245225334,0.4923020115030484,-0.007560674519731618,0.5404750581972336,0.5404750371172782,2.1079955447866894e-08,0.05685841080980976,1.0201796968046715,5
agc,0.05,0.003,1,0.013092463259871547,0.04151235377731469,0.4980248860946312,-0.011875544067198446,0.5407541590646191,0.5407541405192631,1.8545356028631943e-08,0.05575173807782393,1.021004026803288,5
scgi_proxy,0.05,0.003,1,0.013028908239832092,0.04147315352614281,0.4980248860946312,-0.011869253311458541,0.5406576945491475,0.5406576858411284,8.708019083591978e-09,0.05564338454367587,1.020940910136605,5
agc,0.05,0.003,2,0.017512146628832766,0.0475785334795865,0.47856935164185194,-0.00788789785461868,0.5357721338956526,0.5357720917119932,4.218365934338664e-08,0.0668137142548769,1.0264712881104887,5
scgi_proxy,0.05,0.003,2,0.017528114610070384,0.04756779407758571,0.47856935164185194,-0.007939856847051747,0.5357254034824563,0.5357253675665032,3.59159531004849e-08,0.06679406997458967,1.026087066317512,5
agc,0.05,0.003,3,0.020273911091996496,0.045810826644026956,0.5095086583081527,-0.01251119341871735,0.5630822026254589,0.563082205483138,2.8576790933598772e-09,0.06781349103454948,1.02615964529407,5
scgi_proxy,0.05,0.003,3,0.020057979262536052,0.04574803845550011,0.5095086583081527,-0.011937156335058428,0.5633775196911306,0.5633774833313501,3.6359780519745755e-08,0.06754540088540766,1.0264319773128403,5
agc,0.05,0.003,4,0.01529016684908799,0.0379941589104705,0.5442038003208816,-0.011939953867722954,0.5855481722127172,0.5855482249943942,5.278167702904568e-08,0.055043997311522375,1.033024187261077,5
scgi_proxy,0.05,0.003,4,0.015170764590338956,0.038008889211475695,0.5442038003208816,-0.011627151687938621,0.5857563024347577,0.5857562831463926,1.928836512732346e-08,0.05494070156022983,1.0331150662427797,5
agc,0.05,0.003,5,0.018583974632507914,0.05341882721770316,0.49345120782500074,-0.017465314752639134,0.5479886949225726,0.5479886829616072,1.1960965440316329e-08,0.07367144815959178,1.0231747413503718,5
scgi_proxy,0.05,0.003,5,0.018469836869357145,0.05345007078450621,0.49345120782500074,-0.017160806655038194,0.5482103088238258,0.5482102824103091,2.641351670717995e-08,0.07354326769501661,1.0225717759395099,5
agc,0.05,0.003,6,0.019943889081108307,0.05644905436268442,0.4846212373521136,-0.012688163180097535,0.5483260176158089,0.5483260739930418,5.637723288209884e-08,0.0779261397538155,1.0200698682483789,5
scgi_proxy,0.05,0.003,6,0.019927336045862578,0.0564383429758214,0.4846212373521136,-0.012351885457012235,0.5486350309167853,0.548635062060425,3.1143639667163825e-08,0.07785924263395393,1.0195580479530058,5
agc,0.05,0.003,7,0.02400264988815933,0.06506045933837534,0.526752882227022,-0.0206045952241994,0.5952113962293575,0.5952114373000336,4.107067608227766e-08,0.09132421377855983,1.0253876669213733,5
scgi_proxy,0.05,0.003,7,0.023984889661983224,0.06499004380091292,0.526752882227022,-0.02059791316051827,0.5951299025294,0.5951298956388933,6.890506720758083e-09,0.09127410890276558,1.0258407098537277,5
agc,0.05,0.003,8,0.021440800541266986,0.06094717800098407,0.5043874577514778,-0.01587188696194606,0.5709035493317828,0.5709035739816689,2.4649886132266374e-08,0.08401626810470736,1.0197636790132103,5
scgi_proxy,0.05,0.003,8,0.02136689393239449,0.06095628567759462,0.5043874577514778,-0.015762660974426374,0.5709479763870405,0.5709480382265287,6.183948819682428e-08,0.083933420268874,1.0195599910804405,5
