image_size,num_pixels,num_frames,basis,sigma_delta,seed,object,mse,rel_mse,psnr,recon_scale,delta_recon_mse,delta_recon_rel_mse
16,256,512,random_binary,0.1,2,0,0.06723800224737617,0.534009799101013,11.723851986506173,0.46198473372112053,0.06907285268586434,0.36729157934768686
16,256,512,random_binary,0.1,2,1,0.04223201616411984,0.4682249303588726,13.743581847827489,0.5029435618884599,0.04897725994396757,0.3627805557757854
16,256,512,random_binary,0.1,2,2,0.12170777196448959,0.5773445789574579,9.146816878872796,0.4855293850773316,0.13265556734368478,0.5059796604778727
16,256,512,random_binary,0.1,2,3,0.05051240645775247,0.490764987287502,12.96601940804075,0.4943656213553007,0.03731228902067446,0.2225331845054388
16,256,512,random_binary,0.1,2,4,0.07043669496584096,0.5331886380875108,11.522010302143038,0.5269564875464675,0.05493335075883915,0.32293892252903617
16,256,512,random_binary,0.1,3,0,0.07264562142615141,0.5769575598130029,11.38790556834194,0.45293405722915986,0.07052672625598759,0.3750224822853573
16,256,512,random_binary,0.1,3,1,0.04197502285300463,0.46537565423783706,13.770090587412868,0.5256128849010979,0.04222926449121117,0.3127973279773311
16,256,512,random_binary,0.1,3,2,0.13886771770781375,0.6587461319577291,8.573987020725799,0.39375914005468615,0.17710337428020767,0.6755140924890184
16,256,512,random_binary,0.1,3,3,0.050342031620772235,0.4891096710876166,12.980692618928046,0.4708589918568411,0.043770007354667184,0.2610474826956757
16,256,512,random_binary,0.1,3,4,0.078898920299596,0.5972456243371156,11.029289398974992,0.4829273802206168,0.07308497602826597,0.4296476199903195
16,256,512,hadamard_paired,0.01,0,0,0.0006000967435038636,0.004766018185083355,32.21778729978012,0.979580563367035,0.0006545468898316103,0.00519846532840461
16,256,512,hadamard_paired,0.01,0,1,0.0004144703332009539,0.0045952185220016215,33.82506549765621,0.9994039877128389,0.0004145018423540321,0.004595567867797472
16,256,512,hadamard_paired,0.01,0,2,0.0015728940496041771,0.007461330021540198,28.033005305375337,0.9902012666176329,0.0015933837824430243,0.007558526860035131
16,256,512,hadamard_paired,0.01,0,3,0.0004477418694425265,0.004350139862151025,33.48972291773304,0.9932766841405591,0.0004524369660840739,0.004395755979480397
16,256,512,hadamard_paired,0.01,0,4,0.0006639420923836652,0.005025880049861766,31.778697972207198,0.9972453421358713,0.0006649451635799869,0.0050334725050339086
16,256,512,hadamard_paired,0.01,1,0,0.0006581219591073401,0.005226859267380898,31.816936181499496,0.997063475744127,0.000659208754647552,0.00523549024287272
16,256,512,hadamard_paired,0.01,1,1,0.0003556786375802256,0.003943396987346049,34.48942218198063,0.9951990191462406,0.0003577692337267406,0.0039665753601086234
16,256,512,hadamard_paired,0.01,1,2,0.0014259058426782608,0.006764062763504161,28.459091514514398,1.001956512848605,0.0014267050080370156,0.006767853572640478
16,256,512,hadamard_paired,0.01,1,3,0.0004169027672945166,0.004050515420652986,33.799652221278414,0.9953867377040884,0.00041910507268185654,0.0040719122604351825
16,256,512,hadamard_paired,0.01,1,4,0.0007188821568669709,0.005441762966749049,31.433422957324396,0.98812223917981,0.0007378666974047696,0.005585470708247836
16,256,512,hadamard_paired,0.01,2,0,0.0006896917111923264,0.005477588860841272,31.613449933891438,0.9934465145548407,0.0006951397553558642,0.005520857210921557
16,256,512,hadamard_paired,0.01,2,1,0.0004949875398610314,0.00548791006044481,33.05405733263818,1.00205540924917,0.0004953650620408395,0.005492095641881381
16,256,512,hadamard_paired,0.01,2,2,0.0012744634559259701,0.006045666233812333,28.946726130132596,0.9870922378764239,0.0013102935776475844,0.006215633239341656
16,256,512,hadamard_paired,0.01,2,3,0.00043752451806885323,0.004250870817798395,33.589976048961695,0.9884358914068165,0.00045155276329836573,0.004387165302825503
16,256,512,hadamard_paired,0.01,2,4,0.0007415223998516067,0.00561314409598577,31.298757253031468,0.9977028210955758,0.0007422187762845436,0.005618414882566123
16,256,512,hadamard_paired,0.01,3,0,0.0005648783671338871,0.004486310914471684,32.48045056905161,0.987619769784981,0.0005845747135342122,0.004642740539110115
16,256,512,hadamard_paired,0.01,3,1,0.0004178884343644437,0.004633114893631502,33.789396483854695,1.0008191565177986,0.0004179491886995635,0.004633788479809039
16,256,512,hadamard_paired,0.01,3,2,0.0013018813733793862,0.0061757284784210945,28.854285866079593,0.9936865735748551,0.0013103369878272103,0.00621583916399855
16,256,512,hadamard_paired,0.01,3,3,0.0004175100078873496,0.0040564152073137415,33.793331098374836,0.9966216390970398,0.0004186878473492323,0.004067858611224006
16,256,512,hadamard_paired,0.01,3,4,0.0006682152411441335,0.005058226745984353,31.750836228773135,0.9941377653979182,0.0006727858164313077,0.005092824332387852
16,256,512,hadamard_paired,0.02,0,0,0.002187058777206692,0.017369802480766423,26.60139545140913,0.9705350797994832,0.002301096374534641,0.018275496998256743
16,256,512,hadamard_paired,0.02,0,1,0.001823712460711429,0.020219438176780527,27.390436345220266,0.9833293038949908,0.0018491116684781587,0.02050103835333396
16,256,512,hadamard_paired,0.02,0,2,0.004846939971933856,0.02299240609009501,23.14532358865918,0.9761421893899495,0.004969974803923758,0.023576045183263197
16,256,512,hadamard_paired,0.02,0,3,0.0016959918015771723,0.01647780126327727,27.705762514533617,0.9855715497406758,0.0017176864038893204,0.01668857950781499
16,256,512,hadamard_paired,0.02,0,4,0.0024151400403812154,0.018282022311608637,26.170576818890726,0.982495278766939,0.0024563077197097705,0.01859364959434646
