arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.15,5,0.003,0.011227704989201273,0.01140168586086275,5
hadamard_paired+pairwise,0.15,5,0.01,0.03632926941816065,0.03717194449882881,5
hadamard_paired+pairwise,0.15,5,0.03,0.10088817657190101,0.11011955448787474,5
hadamard_paired+pairwise,0.15,5,0.1,0.26676929341203925,0.3579223723187456,5
hadamard_paired+pairwise,0.15,5,0.3,0.4998205381648108,0.974677926056762,5
hadamard_paired+pairwise,0.15,5,1.0,0.7081555425504423,2.3502151801690254,5
hadamard_paired+pairwise,0.15,5,3.0,0.7834933261871381,3.4787348501288227,5
hadamard_paired+pairwise,0.15,5,10.0,0.7918369510713715,3.6602376559854184,5
hadamard_paired+pairwise,0.15,6,0.001,0.003974714249270077,0.004062265895159054,5
hadamard_paired+pairwise,0.15,6,0.003,0.011820643232542519,0.011988636015699366,5
hadamard_paired+pairwise,0.15,6,0.01,0.03821235206691025,0.039110574016412755,5
hadamard_paired+pairwise,0.15,6,0.03,0.10581785097569818,0.11589190330514867,5
hadamard_paired+pairwise,0.15,6,0.1,0.278048441591261,0.3767709046974409,5
hadamard_paired+pairwise,0.15,6,0.3,0.5158253965561973,1.0254652651612304,5
hadamard_paired+pairwise,0.15,6,1.0,0.7207157389567794,2.473402535446069,5
hadamard_paired+pairwise,0.15,6,3.0,0.7931283524140025,3.6639365846209024,5
hadamard_paired+pairwise,0.15,6,10.0,0.8012701324487214,3.848157510952602,5
hadamard_paired+pairwise,0.15,7,0.001,0.004570647285204136,0.004644333994232163,5
hadamard_paired+pairwise,0.15,7,0.003,0.013564223678548745,0.013743658540995452,5
hadamard_paired+pairwise,0.15,7,0.01,0.04360704322205853,0.044941370383904965,5
hadamard_paired+pairwise,0.15,7,0.03,0.11932150344888919,0.13348818113698985,5
hadamard_paired+pairwise,0.15,7,0.1,0.3045991804566869,0.4339827651539526,5
hadamard_paired+pairwise,0.15,7,0.3,0.5466118373107534,1.1809135136388087,5
hadamard_paired+pairwise,0.15,7,1.0,0.7486210031330334,2.8462667991880757,5
hadamard_paired+pairwise,0.15,7,3.0,0.816386237191546,4.219032225199131,5
hadamard_paired+pairwise,0.15,7,10.0,0.8234915490034436,4.434808449909738,5
