sigma_a,object,rho,rel_mse,K_eff,D_H,pred_rel_mse,ratio_measured_over_pred
0.1,0,0.00298499,0.0038790988398502957,256.3624220382574,0.9938941713593432,0.003797164163683821,1.0215778598539669
0.1,0,0.003,0.00389850287221336,256.3624220382574,0.9938941713593432,0.0038162295487958646,1.0215587983808403
0.1,0,0.00445509,0.005774441757149219,256.3624220382574,0.9938941713593432,0.005663096271848149,1.0196615914609435
0.1,0,0.0066492,0.008584784300794322,256.3624220382574,0.9938941713593432,0.008442884631899003,1.0168070126600086
0.1,0,0.0099239,0.012740834496135603,256.3624220382574,0.9938941713593432,0.0125803790891394,1.0127544174829137
0.1,0,0.01,0.012836885483072302,256.3624220382574,0.9938941713593432,0.0126763683728779,1.0126627047647054
0.1,0,0.0148114,0.018863953816332,256.3624220382574,0.9938941713593432,0.018730455541600646,1.0071273373162148
0.1,0,0.0221059,0.02783198067506205,256.3624220382574,0.9938941713593432,0.02785359924497121,0.9992238500411015
0.1,0,0.03,0.03731015117379269,256.3624220382574,0.9938941713593432,0.03765196423443174,0.9909217734694842
0.1,0,0.032993,0.040842489914317506,256.3624220382574,0.9938941713593432,0.04134677871361149,0.9878034319726104
0.1,0,0.0492418,0.059441843607066946,256.3624220382574,0.9938941713593432,0.06121383512543435,0.9710524342293473
0.1,0,0.0734932,0.08546304552674414,256.3624220382574,0.9938941713593432,0.09027147953746513,0.9467336302079179
0.1,0,0.1,0.11170889640677872,256.3624220382574,0.9938941713593432,0.12123575766279368,0.9214187180442831
0.1,0,0.109688,0.12077384907753956,256.3624220382574,0.9938941713593432,0.13234967524743282,0.9125360440193615
0.1,0,0.163709,0.16673772537892906,256.3624220382574,0.9938941713593432,0.19238578400444165,0.8666842315910387
0.1,0,0.244335,0.2233850537825346,256.3624220382574,0.9938941713593432,0.27616795784577336,0.8088739024071884
0.1,0,0.3,0.25596533514577935,256.3624220382574,0.9938941713593432,0.3301938507712678,0.7751971593289662
0.1,0,0.36467,0.288570971636733,256.3624220382574,0.9938941713593432,0.3892971596414081,0.7412614361290059
0.1,0,0.544268,0.357593025875585,256.3624220382574,0.9938941713593432,0.5347345777535971,0.6687299470661162
0.1,0,0.812317,0.42380847222553697,256.3624220382574,0.9938941713593432,0.708554444196602,0.598131132613351
0.1,0,1.0,0.4547600164002845,256.3624220382574,0.9938941713593432,0.8053124799910051,0.564700073200609
0.1,0,1.21238,0.48040073038367137,256.3624220382574,0.9938941713593432,0.8949896341956817,0.5367668093892537
0.1,0,1.80947,0.5224979886453645,256.3624220382574,0.9938941713593432,1.0653820432848446,0.490432509106658
0.1,0,2.70063,0.5485167405860523,256.3624220382574,0.9938941713593432,1.1884206535182722,0.4615509996079168
0.1,0,3.0,0.5528703755187727,256.3624220382574,0.9938941713593432,1.210557577672046,0.45670721138433257
0.1,0,4.03068,0.5606576382763946,256.3624220382574,0.9938941713593432,1.251356737800359,0.44803981258127984
0.1,0,6.01577,0.5642796468370939,256.3624220382574,0.9938941713593432,1.2708770999348318,0.44400803733581246
0.1,0,8.9785,0.5648209784360068,256.3624220382574,0.9938941713593432,1.2738249459059432,0.4434054932362049
0.1,0,10.0,0.5648398299230271,256.3624220382574,0.9938941713593432,1.2739277462408587,0.44338451029877646
0.1,0,13.4004,0.5648500951608265,256.3624220382574,0.9938941713593432,1.2739836555971367,0.44337310975631955
