sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.5,agc,random_binary,hadamard_paired,,not_reached,-0.0170953160115754,-8.295622766255144,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.0366891119110395,-2.8316505152993585,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.0484472371870854,-2.2246112188564773,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.01906408759098,0.0610216342121638,7,,0.001,0.001,upper_bound,0.001,1.0
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.0898114964356615,-9.67374542406721,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,none,random_binary,hadamard_paired,,not_reached,-0.0337632084892156,-9.413898897228284,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,none,fourier_fourstep,hadamard_paired,,not_reached,-0.0282111469820414,-2.655382422941873,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.0538645134386612,-1.110268701569673,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.1538364015207438,0.0408725244600489,7,,0.001,0.001,upper_bound,0.001,1.0
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.0783371536394064,-2.8502022311752384,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0783321830986292,0.0369585340703864,7,,0.001,0.001,upper_bound,0.001,1.0
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.1453603688586842,-12.663677965306032,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k2,random_binary,hadamard_paired,1.0,observed,0.0004399864644195,-12.583897890361463,7,0.3,1.0,0.5477225575051661,closed_interval,0.001,1.0
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0426787827329917,-8.279222923964735,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.108551568588421,-2.9460156500068706,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0516260505299808,0.0255491224051453,7,,0.001,0.001,upper_bound,0.001,1.0
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.0789040143762473,-12.21808428105627,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.045053841976463,-11.111953194391436,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.0128781090890175,-6.59928726678373,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0309099284480574,-2.7422243672703424,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k32,srht_paired,hadamard_paired,0.03,observed,0.0658530919865931,-0.0899379940843125,7,0.01,0.03,0.017320508075688773,closed_interval,0.001,1.0
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.0784357548181233,-11.205191875276444,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.029817512552027,-10.543880505398889,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.02456503331355,-6.795567410352735,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.0407570216370789,-2.8719183613266,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,reference_k8,srht_paired,hadamard_paired,0.003,observed,0.0777995538367903,-0.0052036493944811,7,0.001,0.003,0.0017320508075688774,closed_interval,0.001,1.0
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.0897426981658551,-9.440485032091663,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.0336074987816417,-9.147954944992874,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.0282111469814818,-2.5064669234358163,7,1.0,,1.0,lower_bound,0.001,1.0
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.0538645114502696,-1.275306686095579,7,1.0,,1.0,lower_bound,0.001,1.0
