config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0056,1,6.184909820556641,6.184909820556641,2.5418448448181152,2.5418448448181152,0.07859507203102112,42,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0055,1,6.173331260681152,6.173331260681152,2.55430269241333,2.55430269241333,0.08136537671089172,42,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0063,1,6.150965690612793,6.150965690612793,2.5614094734191895,2.5614094734191895,0.08309806883335114,42,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0001,1,6.142199993133545,6.142199993133545,8.160737991333008,8.160737991333008,0.1912941038608551,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0003,1,6.096773624420166,6.096773624420166,6.297966957092285,6.297966957092285,0.18565449118614197,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0074,1,6.025794982910156,6.025794982910156,2.526711940765381,2.526711940765381,0.07589102536439896,42,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0054,1,5.784710884094238,5.784710884094238,2.564814329147339,2.564814329147339,0.0836358517408371,42,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0060,1,5.721984386444092,5.721984386444092,2.851909637451172,2.851909637451172,0.10539291054010391,42,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0009,1,5.686336994171143,5.686336994171143,8.172775268554688,8.172775268554688,0.19418998062610626,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0076,1,5.666073322296143,5.666073322296143,2.3494858741760254,2.3494858741760254,0.0670987144112587,42,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0067,1,5.628571510314941,5.628571510314941,2.354949474334717,2.354949474334717,0.06803873181343079,42,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0075,1,5.561986923217773,5.561986923217773,2.363354206085205,2.363354206085205,0.07016509771347046,42,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0068,1,5.552585601806641,5.552585601806641,2.341949701309204,2.341949701309204,0.06494510918855667,42,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0077,1,5.461130619049072,5.461130619049072,2.3360464572906494,2.3360464572906494,0.06366398930549622,42,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0066,1,5.400845050811768,5.400845050811768,2.367393732070923,2.367393732070923,0.07079413533210754,42,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0059,1,5.3909454345703125,5.3909454345703125,2.3475182056427,2.3475182056427,0.06618263572454453,42,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0058,1,5.353224754333496,5.353224754333496,2.359354257583618,2.359354257583618,0.06893539428710938,42,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0000,1,5.0755696296691895,5.0755696296691895,8.168782234191895,8.168782234191895,0.19466128945350647,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0057,1,5.036240100860596,5.036240100860596,2.3701491355895996,2.3701491355895996,0.07140307128429413,42,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.055
