experiment,basis,correction,channel,rho,sigma_a,mse_mean,rel_mse_mean,psnr_mean,gain_rel_mse_mean,gain_corr_mean,mse_std,rel_mse_std,psnr_std,gain_rel_mse_std,gain_corr_std,window_frac,agc_window,sigma_delta
oracle_agc,srht_paired,none,ou,0.03,0.1,0.004930046164562188,0.050959474078785025,23.529200911131866,,,0.002057991694550131,0.007969582751755565,2.1363451934092184,,,,,
oracle_agc,srht_paired,oracle,ou,0.001,0.1,7.077955273303138e-14,7.513435524869038e-13,120.0,8.491836147293558e-15,0.9999999046325684,2.279060896665283e-14,1.0111514495888673e-13,0.0,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,srht_paired,oracle,ou,0.003,0.1,7.229250396982253e-14,7.658323381760825e-13,120.0,8.460152879901511e-15,1.000000011920929,2.3704232425350643e-14,1.0294556788068071e-13,0.0,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,srht_paired,oracle,ou,0.01,0.1,7.202302667587974e-14,7.627516856464307e-13,120.0,5.626528499298907e-15,0.9999999761581421,2.3823093090000883e-14,1.0175308643665604e-13,0.0,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,srht_paired,oracle,ou,0.03,0.1,7.252290082763847e-14,7.691441186842166e-13,120.0,5.623241333837202e-15,0.9999999046325684,2.361736009034147e-14,1.0078050362276435e-13,0.0,6.88703806732008e-15,2.9200193184458784e-08,,,
agc_window_sweep,dct_paired,agc,ou,0.01,0.1,0.007627896418190413,0.0789661493369229,21.62489141335631,0.0012587010790593922,0.9310627126693726,0.003140814609475255,0.011949947963432767,2.1124673041267936,0.000159674632303383,0.020233715906241578,0.01,21.0,
agc_window_sweep,dct_paired,agc,ou,0.01,0.1,0.00788680133388061,0.08181163781135643,21.465593295596367,0.0022432468761689963,0.8799777996540069,0.0031843644851638118,0.011681045901061293,2.082696034341991,0.0002918602979626875,0.033418137164197906,0.02,41.0,
agc_window_sweep,dct_paired,agc,ou,0.01,0.1,0.008269847832071037,0.08593253574302352,21.24721551577918,0.005345414495095611,0.7344754981994629,0.0032934630392735718,0.011582730353786767,2.052161530477828,0.0005501136747863841,0.0597137221193792,0.05,103.0,
agc_window_sweep,dct_paired,agc,ou,0.01,0.1,0.008504654073618875,0.08863586377277141,21.107486154317815,0.009968551751226186,0.555081679224968,0.0033182317669852653,0.011195514480561775,2.0059059729214472,0.0010427118565483283,0.08309400468462903,0.1,205.0,
agc_window_sweep,dct_paired,agc,ou,0.01,0.1,0.008601894754793721,0.09000646988594559,21.03723954810247,0.018007527645677326,0.3316760429739952,0.0032767481348424964,0.010762973692860712,1.9513307278512986,0.0024494481310397644,0.10282142695588922,0.2,411.0,
agc_window_sweep,fourier_fourstep,agc,ou,0.01,0.1,0.006894438928421148,0.07156085244334674,22.048666308828004,0.001263307980261743,0.9308549737930298,0.0027688621279177354,0.010367484021750082,2.083491631229618,0.00016081268800597536,0.020263013055712365,0.01,21.0,
agc_window_sweep,fourier_fourstep,agc,ou,0.01,0.1,0.007707921687577565,0.08044793382557014,21.537831339201194,0.002244988135062158,0.8799220144748687,0.0029916522787182724,0.011246016084604132,2.023107701717772,0.0002934163560729943,0.03341613245335402,0.02,41.0,
agc_window_sweep,fourier_fourstep,agc,ou,0.01,0.1,0.00871786415987217,0.09142294706575667,20.97508404130348,0.005348493671044707,0.7344795656204224,0.0032652200301207536,0.011617509225882196,1.9498043321053895,0.0005490923576224749,0.05931810248561962,0.05,103.0,
