experiment,basis,correction,channel,rho,sigma_delta,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,5,2048,1024,0.09977516371024349,0.8636722568544773,10.009775509566472,0.14614512142755623
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,6,2048,1024,0.11321215214226887,0.8504851624709813,9.461069536683086,0.14387401196170652
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,7,2048,1024,0.10990505866458837,0.856293022195264,9.589823175896523,0.13762881054220466
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,8,2048,1024,0.09634124631448074,0.8504121215286129,10.161877397529462,0.1349559473154749
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,9,2048,1024,0.06639530814453572,0.8354906594614251,11.778626091701145,0.16331411082270766
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,0,2048,1024,0.06844688884643377,0.8095845753971715,11.646462873040326,0.18595482020223764
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,1,2048,1024,0.06509393951564225,0.8161769049907573,11.864594439577141,0.19093554913007707
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,2,2048,1024,0.059357071003602824,0.8399892166239828,12.265275376204901,0.17477762761038865
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,3,2048,1024,0.07568529764912504,0.8027879087862344,11.209884767746148,0.17730169980044466
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,4,2048,1024,0.02773015283472944,0.7834591476332935,15.570477368016288,0.20244157168224022
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,5,2048,1024,0.09870670227436508,0.8544234571996155,10.056533573410109,0.14772815411406365
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,6,2048,1024,0.10967388988755013,0.8239046276818552,9.598967528031288,0.16870788525022082
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,7,2048,1024,0.11117390290784401,0.8661788498810329,9.539971475855301,0.1294843241137647
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,8,2048,1024,0.09697821670741519,0.8560347116852536,10.133258062098726,0.14098511969418662
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,1,9,2048,1024,0.06786588639443389,0.8539957982450632,11.683484742259596,0.14890716171840798
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,0,2048,1024,0.06799713845583538,0.8042649621153434,11.675093634553757,0.1883984332946896
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,1,2048,1024,0.06440883212669542,0.8075867223645766,11.910545754835866,0.19811004996205323
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,2,2048,1024,0.05848357268554566,0.8276279401071097,12.329661047536064,0.1728390808400271
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,3,2048,1024,0.07967292380357707,0.8450843409994575,10.986892449850508,0.1624094493672734
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,4,2048,1024,0.027930630915611723,0.789123248632062,15.539192540564596,0.19853221061662168
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,5,2048,1024,0.09801874189751503,0.8484683450333648,10.086908760987757,0.1546492109962308
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,6,2048,1024,0.11252217882354065,0.8453018666942012,9.487618669629395,0.15619687780050603
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,7,2048,1024,0.11320686794681203,0.8820181005796556,9.461272249063672,0.1282643505165398
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,8,2048,1024,0.09610966034107352,0.8483678930543554,10.172329575763541,0.1436096250390717
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,2,9,2048,1024,0.06449375668889157,0.8115623349446164,11.904823251600668,0.18245374690266705
