postprocess_method,rule,observations,mean_selected_cnr,min_selected_cnr,all_hit_apl_min,mean_regret_to_peak,max_regret_to_peak,mean_selected_step
raw_mean_binary,min_proxy_std,4,3.1530717946588993,0.17859147489070892,False,10.565721835941076,14.841824784874916,59.5
raw_mean_binary,min_proxy_mean,4,3.0455090142786503,0.17859147489070892,False,10.673284616321325,14.841824784874916,63.5
raw_mean_plus_std_binary,min_proxy_tv_l1,4,5.139530315995216,0.16950535774230957,False,37.893171176314354,103.29996013641357,64.5
raw_mean_plus_std_binary,min_proxy_hist_entropy,4,5.105685725808144,0.16950535774230957,False,37.92701576650143,103.43533849716187,64.75
raw_mean_plus_std_binary,min_proxy_std,4,3.492523565888405,0.16950535774230957,False,39.540177926421165,103.43533849716187,59.5
raw_mean_plus_std_binary,min_proxy_roughness_l2,4,3.414362944662571,0.16950535774230957,False,39.618338547647,103.29996013641357,65.75
raw_mean_plus_std_binary,min_proxy_mean,4,2.755033388733864,0.16950535774230957,False,40.27766810357571,103.43533849716187,63.5
minmax_otsu_binary,min_proxy_otsu_fg_fraction,4,11.131240468472242,0.10511766374111176,False,24.29668130353093,48.387516021728516,76.5
raw_otsu_binary,min_proxy_otsu_fg_fraction,4,11.131240468472242,0.10511766374111176,False,24.29668130353093,48.387516021728516,76.5
minmax_otsu_binary,min_proxy_max,4,7.82420938462019,0.09660595655441284,False,27.603712387382984,55.60424995422363,76.25
raw_otsu_binary,min_proxy_max,4,7.82420938462019,0.09660595655441284,False,27.603712387382984,55.60424995422363,76.25
minmax_otsu_binary,min_proxy_tv_l1,4,5.3956991545856,0.09660595655441284,False,30.032222617417574,71.19648170471191,64.5
raw_otsu_binary,min_proxy_tv_l1,4,5.3956991545856,0.09660595655441284,False,30.032222617417574,71.19648170471191,64.5
minmax_otsu_binary,min_proxy_hist_entropy,4,5.36439598724246,0.09660595655441284,False,30.063525784760714,71.32169437408447,64.75
raw_otsu_binary,min_proxy_hist_entropy,4,5.36439598724246,0.09660595655441284,False,30.063525784760714,71.32169437408447,64.75
minmax_otsu_binary,min_proxy_roughness_l2,4,4.316190414130688,0.09660595655441284,False,31.111731357872486,71.19648170471191,65.75
raw_otsu_binary,min_proxy_roughness_l2,4,4.316190414130688,0.09660595655441284,False,31.111731357872486,71.19648170471191,65.75
minmax_otsu_binary,min_proxy_std,4,4.286448609083891,0.09660595655441284,False,31.141473162919283,71.32169437408447,59.5
