object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,C0_measured,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.01,0.00894708152072714,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.0001,9.270043907971684e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.0003,0.00028203384289135177,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.001,0.000995745275582239,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.003,0.0026581182693450004,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,9,0.01,0.008627369658309464,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.0001,9.395529920417731e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.0003,0.00024057876491369946,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.001,0.0012488449030249183,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.003,0.0026169631578199263,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,10,0.01,0.008939082502736194,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.0001,7.238706147313318e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.0003,0.0004067745612901689,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.001,0.0008585362825754245,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.003,0.002442542016024185,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,11,0.01,0.008932210782624368,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.0001,0.00011084104031311209,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.0003,0.00032585697361566126,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.001,0.0012521885151858076,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.003,0.0026275598096635665,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,12,0.01,0.009741151971114583,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.0001,9.911279389595773e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.0003,0.00028842615120154493,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.001,0.000905957170339944,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.003,0.002912875343246005,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,13,0.01,0.011444546840614344,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,14,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,14,0.0001,0.00011502516199010493,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,14,0.0003,0.00028386013632571285,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,14,0.001,0.0009581325794052764,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,14,0.003,0.003237974012260255,1.0,3.791129985109778e-10,0.003,0.06494319704508411
