object,family,K_eff,basis,requested_basis,arm_kind,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,theory_floor,err_over_floor
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,8,1024,0.0,717355328.0,0.9074449239595623,6.432483332624845e+16,253623408.47455,3.5779225956212177e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,16,1024,0.0,717355328.0,0.940746896644938,3.2162416663124224e+16,179338832.0,5.245639698628895e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,32,1024,0.0,717355328.0,0.9779922768500053,1.6081208331562112e+16,126811704.237275,7.712160977034913e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,64,1024,0.0,717355328.0,0.9821119480334194,8040604165781056.0,89669416.0,1.0952585528530926e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,128,1024,0.0,717355328.0,0.9786766855304726,4020302082890528.0,63405852.1186375,1.543511604732145e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,256,1024,0.0,717355328.0,0.9622056405205051,2010151041445264.0,44834708.0,2.1461177811629888e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,512,1024,0.0,717355328.0,0.9230904026585413,1005075520722632.0,31702926.05931875,2.911688343629115e-08
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,4,1024,0.0,2262741760.0,0.9990746995356667,1.2800000681119744e+18,1131370880.0,8.830655951969232e-10
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,8,1024,0.0,2262741760.0,0.9984071283566568,6.400000340559872e+17,800000021.2849917,1.2480088772409977e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,16,1024,0.0,2262741760.0,0.9969666890866653,3.200000170279936e+17,565685440.0,1.7624047192847412e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,32,1024,0.0,2262741760.0,0.9940653179453088,1.600000085139968e+17,400000010.6424959,2.4851632287424235e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,64,1024,0.0,2262741760.0,0.988331271560036,8.00000042569984e+16,282842720.0,3.4942786279245087e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,128,1024,0.0,2262741760.0,0.9771321513817803,4.00000021284992e+16,200000005.32124794,4.885660626919844e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,256,1024,0.0,2262741760.0,0.95157862814037,2.00000010642496e+16,141421360.0,6.728676828877688e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,0,512,1024,0.0,2262741760.0,0.8943858784780221,1.00000005321248e+16,100000002.66062397,8.943858546817778e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,4,1024,0.0,2262741760.0,0.9990208516939029,1.2800000681119744e+18,1131370880.0,8.830179999806102e-10
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,8,1024,0.0,2262741760.0,0.9983204348155365,6.400000340559872e+17,800000021.2849917,1.2479005103174804e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,16,1024,0.0,2262741760.0,0.9968524849785734,3.200000170279936e+17,565685440.0,1.7622028330419347e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,32,1024,0.0,2262741760.0,0.9940309498873209,1.600000085139968e+17,400000010.6424959,2.4850773085997396e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,64,1024,0.0,2262741760.0,0.9887514238269984,8.00000042569984e+16,282842720.0,3.4957640904704864e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,128,1024,0.0,2262741760.0,0.9785800277514508,4.00000021284992e+16,200000005.32124794,4.892900008575584e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,256,1024,0.0,2262741760.0,0.9572420132443233,2.00000010642496e+16,141421360.0,6.768723007926973e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,512,1024,0.0,2262741760.0,0.9065850839463181,1.00000005321248e+16,100000002.66062397,9.065850598254987e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,4,1024,0.0,2262741760.0,0.9992934686746856,1.2800000681119744e+18,1131370880.0,8.832589616189216e-10
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,8,1024,0.0,2262741760.0,0.9987665012124646,6.400000340559872e+17,800000021.2849917,1.2484580932988054e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,16,1024,0.0,2262741760.0,0.9976543695630552,3.200000170279936e+17,565685440.0,1.7636203780727593e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,32,1024,0.0,2262741760.0,0.9954698310587025,1.600000085139968e+17,400000010.6424959,2.4886745114324856e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,64,1024,0.0,2262741760.0,0.9911086990209345,8.00000042569984e+16,282842720.0,3.504098316622519e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,128,1024,0.0,2262741760.0,0.9822113050945201,4.00000021284992e+16,200000005.32124794,4.9110563948078575e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,256,1024,0.0,2262741760.0,0.961555251606075,2.00000010642496e+16,141421360.0,6.79922220806019e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,512,1024,0.0,2262741760.0,0.9158797170465401,1.00000005321248e+16,100000002.66062397,9.158796926784255e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,4,1024,0.0,2262741760.0,0.9990380645480418,1.2800000681119744e+18,1131370880.0,8.830332141375618e-10
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,8,1024,0.0,2262741760.0,0.9983478269588716,6.400000340559872e+17,800000021.2849917,1.2479347504957384e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,16,1024,0.0,2262741760.0,0.9968903532975321,3.200000170279936e+17,565685440.0,1.7622697754029731e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,32,1024,0.0,2262741760.0,0.9939594566736791,1.600000085139968e+17,400000010.6424959,2.4848985755703906e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,64,1024,0.0,2262741760.0,0.988258885114259,8.00000042569984e+16,282842720.0,3.4940227031979435e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,128,1024,0.0,2262741760.0,0.9769941203472408,4.00000021284992e+16,200000005.32124794,4.884970471765508e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,256,1024,0.0,2262741760.0,0.9562325004161792,2.00000010642496e+16,141421360.0,6.7615846744521425e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,512,1024,0.0,2262741760.0,0.9108273282258031,1.00000005321248e+16,100000002.66062397,9.108273039921137e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,4,1024,0.0,2262741760.0,0.9993693683872451,1.2800000681119744e+18,1131370880.0,8.833260481189379e-10
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,8,1024,0.0,2262741760.0,0.9988929777333404,6.400000340559872e+17,800000021.2849917,1.248616188945694e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,16,1024,0.0,2262741760.0,0.9977905167042663,3.200000170279936e+17,565685440.0,1.7638610544833297e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,32,1024,0.0,2262741760.0,0.9956110288180641,1.600000085139968e+17,400000010.6424959,2.489027505821498e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,64,1024,0.0,2262741760.0,0.9912301330946077,8.00000042569984e+16,282842720.0,3.5045276508959034e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,128,1024,0.0,2262741760.0,0.9823537461740439,4.00000021284992e+16,200000005.32124794,4.911768600186527e-09
stripe,stripe,512.0,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,256,1024,0.0,2262741760.0,0.9635024317523397,2.00000010642496e+16,141421360.0,6.812990850550014e-09
