sigma_a,rho,seed,object,rel_mse_raw
0.05,10.0,1,5,0.49345118286460776
0.05,10.0,1,6,0.4846212510230959
0.05,10.0,1,7,0.526752876318534
0.05,10.0,1,8,0.5043874415649001
0.05,10.0,1,9,0.5066149297927975
0.05,10.0,2,0,0.49230201100236454
0.05,10.0,2,1,0.49802488961026325
0.05,10.0,2,2,0.47856933793262824
0.05,10.0,2,3,0.5095086493598365
0.05,10.0,2,4,0.5442037973298408
0.05,10.0,2,5,0.49345119839714036
0.05,10.0,2,6,0.48462125464640415
0.05,10.0,2,7,0.5267528775184798
0.05,10.0,2,8,0.5043874516261595
0.05,10.0,2,9,0.5066149616896183
0.05,10.0,3,0,0.4923020345615932
0.05,10.0,3,1,0.498024915038651
0.05,10.0,3,2,0.47856932445031874
0.05,10.0,3,3,0.5095086017990891
0.05,10.0,3,4,0.5442037918696746
0.05,10.0,3,5,0.4934512039207493
0.05,10.0,3,6,0.48462123574685095
0.05,10.0,3,7,0.5267528583125584
0.05,10.0,3,8,0.5043874638042682
0.05,10.0,3,9,0.5066149490725617
0.05,10.0,4,0,0.492301971893751
0.05,10.0,4,1,0.4980249203315003
0.05,10.0,4,2,0.4785693394340715
0.05,10.0,4,3,0.5095086559594915
0.05,10.0,4,4,0.5442037751573227
0.05,10.0,4,5,0.49345117672854627
0.05,10.0,4,6,0.4846212360062842
0.05,10.0,4,7,0.526752856126582
0.05,10.0,4,8,0.5043874452953623
0.05,10.0,4,9,0.5066149240565
0.1,0.001,0,0,0.49230204007461975
0.1,0.001,0,1,0.49802491009412503
0.1,0.001,0,2,0.47856935977515314
0.1,0.001,0,3,0.509508665216731
0.1,0.001,0,4,0.5442037965226603
0.1,0.001,0,5,0.4934512230621469
0.1,0.001,0,6,0.4846212478668688
0.1,0.001,0,7,0.5267528496315769
0.1,0.001,0,8,0.5043874722076497
0.1,0.001,0,9,0.5066149394134417
0.1,0.001,1,0,0.4923020010609093
0.1,0.001,1,1,0.49802488251396676
0.1,0.001,1,2,0.4785693654715278
0.1,0.001,1,3,0.5095086743167564
0.1,0.001,1,4,0.5442038162086333
